,B19013_001E,B15003_017E,B15003_022E,B03002_003E,B03002_004E,B03002_012E,B01001_001E,B23025_004E,B08301_001E,B17001_002E,B25077_001E
"Block Group 2; Census Tract 319; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031900> block group:2",119625,16,426,925,140,128,1308,867,867,,443800
"Block Group 1; Census Tract 321; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:032100> block group:1",82700,84,701,878,121,228,1349,945,945,,197700
"Block Group 2; Census Tract 321; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:032100> block group:2",80878,96,384,552,128,232,921,842,814,,448000
"Block Group 3; Census Tract 321; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:032100> block group:3",68647,276,303,687,221,624,1908,934,934,,-666666666
"Block Group 4; Census Tract 321; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:032100> block group:4",56293,322,125,624,584,252,1947,1562,1562,,-666666666
"Block Group 5; Census Tract 321; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:032100> block group:5",135057,94,301,586,81,199,997,690,690,,469800
"Block Group 1; Census Tract 401; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:040100> block group:1",97244,150,427,991,261,119,1509,937,910,,624000
"Block Group 2; Census Tract 401; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:040100> block group:2",62885,25,362,759,190,333,1375,904,904,,461500
"Block Group 3; Census Tract 401; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:040100> block group:3",153750,32,249,700,0,233,1015,550,550,,703000
"Block Group 1; Census Tract 402.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:040201> block group:1",119079,228,486,1172,0,483,1758,1108,1108,,454700
"Block Group 2; Census Tract 402.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:040201> block group:2",75247,231,467,1350,53,501,2125,1180,1180,,632500
"Block Group 3; Census Tract 402.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:040201> block group:3",102325,21,317,1159,39,106,1421,941,918,,563300
"Block Group 4; Census Tract 402.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:040201> block group:4",119839,102,819,1429,115,205,1903,1357,1331,,413100
"Block Group 1; Census Tract 402.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:040202> block group:1",72775,141,158,459,0,358,939,345,345,,246000
"Block Group 2; Census Tract 402.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:040202> block group:2",59786,349,579,810,146,763,2401,1191,1153,,305700
